Juego,Rating
Pharaoh + Cleopatra,4.8
Emperor: Rise of the Middle Kingdom,4.8
Theme Hospital,4.7
The Settlers® 2: Gold Edition,4.7
Worms: Armageddon,4.6
Caesar 3,4.6
The Incredible Machine Mega Pack,4.6
Blitzkrieg Anthology,4.6
Majesty Gold HD,4.6
World in Conflict: Complete Edition,4.5
Dungeon Keeper™ 2,4.5
Frostpunk: Game of the Year Edition,4.5
Heroes Chronicles: All Chapters,4.5
Populous™: The Beginning,4.5
Anno 1404: Gold Edition,4.4
