Nombre,Genero,Desarrollador,Editor,Fraquicia,Fecha
Little Nightmares,Adventure,Tarsier Studios,BANDAI NAMCO Entertainment,Little Nightmares,"Apr 27, 2017"
Little Nightmares II,Adventure,Tarsier Studios,BANDAI NAMCO Entertainment,Little Nightmares,"Feb 10, 2021"
Unpacking,Casual|Indie|Simulation,Witch Beam,Humble Games,Humble Games,"Nov 1, 2021"
Unpacking,Casual|Indie|Simulation,Witch Beam,Humble Games,Humble Games,"1 Nov, 2021"
Little Nightmares II,Adventure,Tarsier Studios,BANDAI NAMCO Entertainment,Little Nightmares,"10 Feb, 2021"
